Scenario,Barangay_ID,Barangay_Name,Hazard_Level,FA_Allocated,FA_Ideal,EFA_Allocated,EFA_Ideal,FA_Solution_Quality,EFA_Solution_Quality,Percentage_Change
2,DAMAR,Brgy. Damar,Medium,89,1,203,1,88.0,202.0,129.55
2,DAMAYAN,Brgy. Damayan,Medium,202,7,245,7,27.86,34.0,22.04
2,DAMAYANG_LAGI,Brgy. Damayang Lagi,Medium,228,20,142,20,10.4,6.1,-41.35
2,DEL_MONTE,Brgy. Del Monte,Low,70,6,238,6,10.67,38.67,262.42
2,DIOQUINO_ZOBEL,Brgy. Dioquino Zobel,Low,41,1,97,1,40.0,96.0,140.0
2,DONA_AURORA,Brgy. Dona Aurora,None,0,0,0,0,1.0,1.0,0.0
2,DONA_IMELDA,Brgy. Dona Imelda,Medium,287,12,157,12,22.92,12.08,-47.29
2,DONA_JOSEFA,Brgy. Dona Josefa,Low,150,1,118,1,149.0,117.0,-21.48
2,DON_MANUEL,Brgy. Don Manuel,Low,37,1,53,1,36.0,52.0,44.44
2,DUYAN_DUYAN,Brgy. Duyan-Duyan,None,0,0,0,0,1.0,1.0,0.0
2,EAST_KAMIAS,Brgy. East Kamias,Medium,180,7,99,7,24.71,13.14,-46.82
2,ESCOBA_1,Brgy. Escopa 1,Medium,198,3,141,3,65.0,46.0,-29.23
2,ESCOBA_2,Brgy. Escopa 2,Low,70,1,177,1,69.0,176.0,155.07
2,ESCOBA_3,Brgy. Escopa 3,Medium,13,8,38,8,0.63,3.75,495.24
2,ESCOBA_4,Brgy. Escopa 4,Low,123,1,168,1,122.0,167.0,36.89
2,E_RODRIGUEZ,Brgy. E. Rodriguez,Medium,119,18,207,18,5.61,10.5,87.17
2,FAIRVIEW,Brgy. Fairview,Low,64,31,415,31,1.06,12.39,1068.87
2,GREATER_LAGRO,Brgy. Greater Lagro,Low,353,12,217,12,28.42,17.08,-39.9
2,GULOD,Brgy. Gulod,Medium,621,63,100,63,8.86,0.59,-93.34
2,HOLY_SPIRIT,Brgy. Holy Spirit,Medium,908,112,240,112,7.11,1.14,-83.97
2,HORSESHOE,Brgy. Horseshoe,None,0,0,0,0,1.0,1.0,0.0
2,IMMACULATE_CONCEPTION,Brgy. Immaculate Conception,Medium,172,9,207,9,18.11,22.0,21.48
2,KALIGAYAHAN,Brgy. Kaligayahan,Medium,329,61,159,61,4.39,1.61,-63.33
2,KALUSUGAN,Brgy. Kalusugan,Medium,111,5,121,5,21.2,23.2,9.43
2,KAMUNING,Brgy. Kamuning,None,0,0,0,0,1.0,1.0,0.0
2,KATIPUNAN,Brgy. Katipunan,Medium,63,11,263,11,4.73,22.91,384.36
2,KAUNLARAN,Brgy. Kaunlaran,Medium,217,13,83,13,15.69,5.38,-65.71
2,KRISTONG_HARI,Brgy. Kristong Hari,None,0,0,0,0,1.0,1.0,0.0
2,KRUS_NA_LIGAS,Brgy. Krus na Ligas,Low,46,11,327,11,3.18,28.73,803.46
2,LAGING_HANDA,Brgy. Laging Handa,Medium,72,5,99,5,13.4,18.8,40.3
2,LIBIS,Brgy. Libis,Medium,58,5,195,5,10.6,38.0,258.49
2,LOURDES,Brgy. Lourdes,Medium,60,5,173,5,11.0,33.6,205.45
2,LOYOLA_HEIGHTS,Brgy. Loyola Heights,Low,348,11,29,11,30.64,1.64,-94.65
